TOA5	Carl_WS	CR1000	17273	CR1000.Std.15	CPU:COBS_SW8Aport5.cr1	27157	Daily																				
TIMESTAMP	RECORD	Batt_Volt_Min	PTemp_C_Max	PTemp_C_Min	Rain_in_Tot	SlrW_Avg	SlrW_Max	SlrW_TMx	SlrMJ_Tot	AirTF_Max	AirTF_TMx	AirTF_Min	AirTF_TMn	AirTF_Avg	RH_Max	RH_TMx	RH_Min	RH_TMn	WS_mph_Max	WS_mph_TMx	WS_mph_S_WVT	WindDir_D1_WVT	T107_F_Max	T107_F_TMx	T107_F_Min	T107_F_TMn	T107_F_Avg
TS	RN	Volts	Deg C	Deg C	inch	W/m�	W/m�	W/m�	MJ/m�	Deg F	Deg F	Deg F	Deg F	Deg F	%	%	%	%	miles/hour	miles/hour	miles/hour	Deg	Deg F	Deg F	Deg F	Deg F	Deg F
		Min	Max	Min	Tot	Avg	Max	TMx	Tot	Max	TMx	Min	TMn	Avg	Max	TMx	Min	TMn	Max	TMx	WVc	WVc	Max	TMx	Min	TMn	Avg
7/19/2016 0:00	139	11.77	32.88	20.4	1.21	268.6	1029	7/18/2016 11:25	23.2037	83.1	7/18/2016 15:36	66.54	7/18/2016 3:22	75.16	115.9	7/18/2016 7:42	57.7	7/18/2016 11:57	31.19	7/18/2016 3:10	3.035	129.1	73.67	7/18/2016 21:54	71.61	7/18/2016 10:14	72.49
7/20/2016 0:00	140	11.67	24.57	20.13	1.14	39.37	403.6	7/19/2016 16:19	3.40142	74.14	7/19/2016 19:06	222	7/19/2016 3:27	70.42	115.7	7/19/2016 12:24	86.7	7/19/2016 15:41	18.94	7/19/2016 10:41	5.137	136.6	73.58	7/19/2016 0:12	71.83	7/19/2016 23:55	72.46
7/21/2016 0:00	141	11.49	36.32	20.72	0.01	300.2	860	7/20/2016 12:22	25.93645	91.1	7/20/2016 14:19	68.07	7/20/2016 2:13	80.1	114.9	7/20/2016 3:57	59.32	7/20/2016 14:31	17.62	7/20/2016 15:08	6.178	173.2	74.5	7/20/2016 22:44	71.31	7/20/2016 8:47	72.53
7/22/2016 0:00	142	11.66	36.81	24.42	?	298.9	853	7/21/2016 12:15	25.82919	92.2	7/21/2016 13:58	74.99	7/21/2016 3:30	83.7	111.4	7/21/2016 23:26	58.27	7/21/2016 14:00	17.67	7/21/2016 14:19	5.985	188.3	76.69	7/21/2016 22:30	74.12	7/21/2016 9:02	75.13
7/23/2016 0:00	143	11.7	36.81	23.64	0	286	901	7/22/2016 13:04	24.71015	90.2	7/22/2016 15:51	72.93	7/22/2016 5:28	81	114	7/22/2016 23:51	60.4	7/22/2016 15:52	20.47	7/22/2016 10:31	5.912	152.9	77.32	7/22/2016 22:34	75.64	7/22/2016 11:14	76.47
7/24/2016 0:00	144	11.86	34.88	24.98	0.04	171.2	1202	7/23/2016 14:23	14.79376	?	7/23/2016 16:15	75.72	7/23/2016 5:08	81.7	114.2	7/23/2016 5:24	65.08	7/23/2016 15:21	13.15	7/23/2016 15:08	4.406	154.7	77.32	7/23/2016 21:45	76.41	7/23/2016 10:36	76.89
7/25/2016 0:00	145	11.76	32.99	18.66	0	248.1	1120	7/24/2016 12:04	21.43936	85.3	7/24/2016 13:53	65.52	7/24/2016 23:51	77.38	114.5	7/24/2016 5:18	46.24	7/24/2016 11:58	15.48	7/24/2016 11:11	4.603	314.8	77.22	7/24/2016 0:05	76.3	7/24/2016 10:36	76.72
